epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
84,10386.8,0.84134,1.01153,0.88626,0.9652,0,0.79769,0.76619,0.82201,0.66312,0.81657,0.75039,0.81942,0.59829,0.79898,0.92766,0.76258,0.91202,0,2.72318e-05,2.72318e-05,2.72318e-05
85,10509.9,0.83851,0.98642,0.87649,0.96611,0,0.80738,0.76459,0.82,0.65921,0.81875,0.7556,0.81687,0.59391,0.79587,0.93114,0.75808,0.90965,0,2.45737e-05,2.45737e-05,2.45737e-05
86,10633,0.83711,0.99061,0.85448,0.96026,0,0.80674,0.76477,0.81721,0.65739,0.80722,0.76496,0.81491,0.59393,0.7968,0.93292,0.76105,0.91108,0,2.20634e-05,2.20634e-05,2.20634e-05
87,10756.1,0.8328,0.99606,0.86566,0.96099,0,0.82061,0.76194,0.81862,0.65822,0.82278,0.76285,0.8159,0.59623,0.79794,0.93203,0.75825,0.91058,0,1.97032e-05,1.97032e-05,1.97032e-05
88,10879.9,0.81635,0.98678,0.83564,0.95397,0,0.80155,0.77501,0.82124,0.66087,0.80872,0.77166,0.81847,0.59815,0.79428,0.92952,0.75509,0.91038,0,1.74955e-05,1.74955e-05,1.74955e-05
89,11002.7,0.82989,0.99045,0.86774,0.95634,0,0.81541,0.76538,0.82289,0.66218,0.8225,0.76115,0.82025,0.60051,0.79144,0.92668,0.751,0.90906,0,1.54424e-05,1.54424e-05,1.54424e-05
90,11125.7,0.84043,1.00808,0.87697,0.96061,0,0.79767,0.78145,0.82223,0.66222,0.81316,0.76894,0.81989,0.60081,0.79311,0.92595,0.75477,0.90942,0,1.35461e-05,1.35461e-05,1.35461e-05
91,11242.8,0.7067,0.83592,0.74304,0.881,0,0.80074,0.77639,0.81971,0.66122,0.79962,0.77318,0.81531,0.59531,0.79389,0.93153,0.75635,0.90884,0,1.18083e-05,1.18083e-05,1.18083e-05
92,11359.8,0.71306,0.84785,0.72051,0.8868,0,0.80802,0.7709,0.82716,0.66839,0.8093,0.76673,0.82441,0.60336,0.7949,0.93217,0.7553,0.90923,0,1.02308e-05,1.02308e-05,1.02308e-05
93,11476.3,0.70888,0.83084,0.72358,0.87875,0,0.78879,0.7848,0.81943,0.65947,0.78749,0.78285,0.81663,0.59608,0.79634,0.93257,0.75602,0.90954,0,8.81521e-06,8.81521e-06,8.81521e-06
94,11592.9,0.71313,0.84037,0.73189,0.88409,0,0.78477,0.78104,0.81857,0.6577,0.83022,0.74459,0.81582,0.59373,0.79467,0.9315,0.75375,0.90822,0,7.56281e-06,7.56281e-06,7.56281e-06
95,11710.1,0.70703,0.85156,0.72967,0.88604,0,0.80613,0.76273,0.81902,0.66185,0.80778,0.75936,0.81628,0.59524,0.7953,0.93042,0.75071,0.90809,0,6.47489e-06,6.47489e-06,6.47489e-06
96,11827,0.73445,0.84708,0.74766,0.89149,0,0.78748,0.7834,0.81861,0.66063,0.78456,0.78016,0.81458,0.59413,0.7944,0.92992,0.75115,0.90726,0,5.55252e-06,5.55252e-06,5.55252e-06
97,11943.3,0.71609,0.84197,0.74103,0.89415,0,0.79129,0.78221,0.81907,0.66011,0.78817,0.7794,0.81561,0.59452,0.79346,0.92997,0.75074,0.90676,0,4.79661e-06,4.79661e-06,4.79661e-06
98,12060.2,0.70907,0.81829,0.69174,0.87512,0,0.79417,0.77892,0.81948,0.66029,0.79265,0.77742,0.81733,0.59504,0.79343,0.92946,0.75044,0.90655,0,4.20791e-06,4.20791e-06,4.20791e-06
99,12177.3,0.70557,0.82524,0.7225,0.88213,0,0.79188,0.77824,0.81995,0.66016,0.78998,0.77627,0.81739,0.59433,0.79266,0.92857,0.74929,0.90604,0,3.78699e-06,3.78699e-06,3.78699e-06
100,12294,0.70526,0.82264,0.71839,0.87798,0,0.79614,0.77629,0.81952,0.66048,0.79434,0.77451,0.81733,0.59337,0.79333,0.92908,0.75049,0.9068,0,3.53427e-06,3.53427e-06,3.53427e-06
