epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,6855.05,0.72397,0.8675,0.51199,0.89005,0,0.91983,0.86324,0.92379,0.77012,0.9146,0.85438,0.91214,0.66916,0.70695,1.18531,0.48022,0.8484,0,2.20634e-05,2.20634e-05,2.20634e-05
70,6954.17,0.71367,0.87635,0.50296,0.88917,0,0.91164,0.87467,0.92543,0.76658,0.9074,0.8686,0.9164,0.66837,0.70727,1.18673,0.48261,0.84816,0,1.91368e-05,1.91368e-05,1.91368e-05
71,7051.97,0.66914,0.80559,0.44404,0.88314,0,0.89211,0.87904,0.91947,0.76742,0.89326,0.87389,0.91334,0.665,0.70738,1.18378,0.49137,0.84979,0,1.64495e-05,1.64495e-05,1.64495e-05
72,7149.34,0.65718,0.80623,0.42506,0.87313,0,0.89617,0.88213,0.9124,0.76086,0.8936,0.8794,0.90602,0.65677,0.70468,1.17233,0.48834,0.85014,0,1.40054e-05,1.40054e-05,1.40054e-05
73,7246.47,0.64577,0.78566,0.42172,0.87109,0,0.90223,0.88057,0.92048,0.76597,0.8965,0.87611,0.91205,0.66397,0.70759,1.17351,0.4835,0.85003,0,1.18083e-05,1.18083e-05,1.18083e-05
74,7343.73,0.65846,0.8001,0.41554,0.87971,0,0.90962,0.87583,0.92151,0.76647,0.9057,0.86984,0.91227,0.66125,0.70594,1.16942,0.48175,0.84893,0,9.86171e-06,9.86171e-06,9.86171e-06
75,7441.14,0.64926,0.78108,0.42539,0.87016,0,0.90855,0.87695,0.92236,0.76855,0.90908,0.87178,0.91471,0.669,0.70584,1.17325,0.47918,0.84871,0,8.16853e-06,8.16853e-06,8.16853e-06
76,7538.38,0.65486,0.79114,0.423,0.87185,0,0.9094,0.8768,0.92328,0.77124,0.90697,0.86884,0.91337,0.66591,0.70379,1.17076,0.47774,0.84857,0,6.73139e-06,6.73139e-06,6.73139e-06
77,7635.77,0.65106,0.81618,0.44033,0.87112,0,0.90871,0.87407,0.92198,0.76833,0.90525,0.86747,0.91239,0.66602,0.70344,1.16658,0.47778,0.84796,0,5.55252e-06,5.55252e-06,5.55252e-06
78,7733.16,0.64111,0.79502,0.41236,0.8685,0,0.90873,0.8755,0.92289,0.77008,0.90516,0.86943,0.91274,0.66669,0.70228,1.16851,0.47743,0.84735,0,4.63373e-06,4.63373e-06,4.63373e-06
79,7830.37,0.65192,0.80438,0.41709,0.87102,0,0.91445,0.87162,0.92373,0.76782,0.91118,0.86428,0.91356,0.6664,0.7011,1.16823,0.47649,0.84684,0,3.97644e-06,3.97644e-06,3.97644e-06
80,7927.55,0.64583,0.78649,0.4131,0.86804,0,0.91334,0.87101,0.92387,0.76769,0.91358,0.86395,0.91405,0.66564,0.70295,1.17492,0.47437,0.84653,0,3.58166e-06,3.58166e-06,3.58166e-06
